silences	N 0.001312255859375	NP 7.327625274658203
were	(S[dcl]\NP)/(S[adj]\NP) 0.00986480712890625	(S[dcl]\NP)/(S[pss]\NP) 4.767875671386719
lengthy	S[adj]\NP 0.021749496459960938	S[pss]\NP 4.409091949462891
--	(S\S)/S[dcl] 0.1324481964111328	((S\NP)\(S\NP))/S[dcl] 2.4426965713500977
nobody	NP 0.013223648071289062	N 4.488035202026367
moved	S[dcl]\NP 0.03566932678222656	(S[dcl]\NP)/NP 3.653651237487793
or	conj 0.0001735687255859375	(S\NP)/(S\NP) 9.461965560913086
gestured	S[dcl]\NP 0.019451141357421875	(S[dcl]\NP)/NP 4.27674674987793

nobody	N 0.06818485260009766	NP 2.809612274169922
smiled	S[dcl]\NP 0.018400192260742188	(S[dcl]\NP)/NP 4.822355270385742
onstage	(S\NP)\(S\NP) 0.01171875	S[adj]\NP 5.961978912353516
,	, 0.0
and	conj 0.0023403167724609375	S[em]/S[dcl] 6.96446418762207
nobody	NP 0.07062816619873047	N 2.732999801635742
in	(NP\NP)/NP 0.17891979217529297	(S\NP)/NP 3.1450119018554688
the	NP/N 5.340576171875e-05	(NP\NP)/N 10.929466247558594
audience	N 3.62396240234375e-05	N/N 11.745429039001465
was	(S[dcl]\NP)/(S[pss]\NP) 0.001461029052734375	(S[b]\NP)/(S[pss]\NP) 6.819986343383789
encouraged	(S[pss]\NP)/(S[to]\NP) 0.00702667236328125	S[pss]\NP 5.121278762817383
to	(S[to]\NP)/(S[b]\NP) 0.0007991790771484375	S[to]\NP 7.821991920471191
laugh	S[b]\NP 0.052931785583496094	(S[b]\NP)/NP 3.310084342956543

